date,Player,playerID,salary,PG,SG,SF,PF,C,GS,SecondsPlayed,Status,Two_PM,Two_PA,Three_PM,Three_PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PFouls,PlusMinus,PPM,Home,TipTime,teamid,OpponentID,Spread,ProjectedTotal,AwayScore,HomeScore,Result,season,gameID
4/18/15,Norris Cole,coleno01,4400,1,0,0,0,0,0,2015,Active,3,7,0,3,2,2,0,3,6,0,1,0,5,12,0.669,0,0.65,19,10,1.655143938,213.7651506,99,106,L,201415,111503
4/18/15,Dante Cunningham,cunnida01,3000,0,0,1,1,0,0,923,Active,1,3,0,0,1,1,2,3,0,1,0,0,1,9,0.75,0,0.65,19,10,0.68206116,205.8780534,99,106,L,201415,111503
4/18/15,Stephen Curry,curryst01,10300,1,1,0,0,0,1,2406,Active,9,12,4,13,4,7,0,4,5,3,0,3,4,20,1.325,1,0.65,10,19,2.971344484,215.6370233,99,106,W,201415,111503
4/18/15,Anthony Davis,davisan02,10900,0,0,0,1,1,1,2405,Active,13,22,0,1,9,10,3,4,1,1,4,5,4,-4,1.319,0,0.65,19,10,3.980748119,190.5008937,99,106,L,201415,111503
4/18/15,DeMar DeRozan,derozde01,7800,0,1,1,0,0,1,2575,Active,6,19,0,1,3,5,2,9,6,1,0,3,3,-2,0.924,1,0.52,28,30,-14.41391226,180,93,86,L,201415,111504
4/18/15,Jared Dudley,dudleja01,3000,0,0,1,1,0,0,738,Active,1,2,0,2,0,0,1,1,1,0,0,0,2,-1,0.5,0,0.79,17,5,10.9006144,209.7230922,91,103,L,201415,111501
4/18/15,Mike Dunleavy,dunlemi02,4500,0,1,0,0,0,1,2075,Active,0,0,3,5,0,0,0,5,4,1,0,2,3,10,0.679,1,0.79,5,17,9.981687698,188.8788132,91,103,W,201415,111501
4/18/15,Monta Ellis,ellismo01,6400,1,1,0,0,0,1,2316,Active,3,12,2,4,4,6,0,0,4,2,1,3,5,-11,0.705,0,0.9,7,11,17.9581825,208.5138137,108,118,L,201415,111502
4/18/15,Tyreke Evans,evansty01,7200,0,1,1,0,0,1,694,Active,0,2,0,0,1,2,0,1,0,0,0,0,0,-12,0.188,0,0.65,19,10,8.646804412,209.2495757,99,106,L,201415,111503
4/18/15,Festus Ezeli,ezelife01,3000,0,0,0,0,1,0,194,Active,0,0,0,0,2,2,0,0,0,0,0,1,0,-4,0.5,1,0.65,10,19,8.56174247,198.3166703,99,106,W,201415,111503
4/18/15,Pau Gasol,gasolpa01,8700,0,0,0,0,1,1,2171,Active,5,14,0,3,0,0,1,12,4,0,3,2,4,13,1.076,1,0.79,5,17,5.050862121,186.861791,91,103,W,201415,111501
4/18/15,Taj Gibson,gibsota01,4600,0,0,0,1,1,0,1476,Active,2,5,0,0,4,6,7,4,1,1,0,2,2,5,0.97,1,0.79,5,17,3.919560885,185.8438406,91,103,W,201415,111501
4/18/15,Drew Gooden,goodedr01,3600,0,0,0,1,0,0,1385,Active,3,9,0,1,0,0,4,6,2,0,1,2,1,4,0.978,0,0.52,30,28,-11.7730083,184.5976198,93,86,W,201415,111504
4/18/15,Eric Gordon,gordoer01,5100,0,1,1,0,0,1,2117,Active,1,7,4,7,2,2,0,2,3,1,0,5,4,-15,0.7,0,0.65,19,10,11.94387121,190.6272711,99,106,L,201415,111503
4/18/15,Marcin Gortat,gortama01,6000,0,0,0,0,1,1,1566,Active,3,6,0,0,2,2,3,5,1,0,0,2,3,2,0.712,0,0.52,30,28,1.221990202,182.3662088,93,86,W,201415,111504
4/18/15,Draymond Green,greendr01,7700,0,0,0,1,1,1,2545,Active,4,8,1,3,4,6,1,11,7,3,2,3,4,23,1.214,1,0.65,10,19,2.276334594,208.4348936,99,106,W,201415,111503
